Column,Name,Datatype,Unit,Description
ID_position,Identification number of the microsite,numeric,-,"All the different microsites (n = 115). Used as connection element. At each microsite, temperatures were measured 2-3 cm below ground using one T logger (iButtons) per microsite."
ID_site,Identification numer of the site,numeric,-,"All the different sites of the observational study (n = 15 ), where each site (approx. 10 x 15 m) contains several microsites along a snowmelt gradient (clustered microsites)."
GPS_x,GPS coordinate (longitude),numeric,meters,"Longitudinal GPS coordinate (CH1903+ / LV95) of the site (not the microsite), measured with an iPhone 8 using Altimeter+ (iOS App)."
GPS_x_accur,Accuracy of GPS coordinate (longitude),numeric,meters,Accuracy of longitudinal GPS coordinate.
GPS_y,GPS coordinate (latitude),numeric,meters,"Latitudinal GPS coordinate (CH1903+ / LV95) of the site (not the microsite), measured with an iPhone 8 using Altimeter+ (iOS App)."
GPS_y_accur,Accuracy of GPS coordinate (latitude),numeric,meters,Accuracy of latitudinal GPS coordinate.
elevation,Elevation,numeric,meters above sea level,"Elevation of the site (not the microsite), measured with an iPhone 8 using Altimeter+ (iOS App)."
macroexposure_d,Macroexposure in degrees,numeric,degrees,"Exposure of the whole site (in degrees), measured with a 50cm-board and an iPhone 8 using Compass (iOS App)."
macroexposure,Macroexposure as geographic direction,factor,-,"Exposure of the whole site (geographic direction), measured with a 50cm-board and an iPhone 8 using Compass (iOS App)."
slope,Slope,numeric,degrees,"Slope of the microsite, measured with a 50cm-board and an iPhone 8 using Protractor (iOS App)."
exposure_d,Exposure in degrees,numeric,degrees,"Exposure of the microsite (in degrees), measured with a 50cm-board and an iPhone 8 using Compass (iOS App)."
exposure,Exposure as geographic direction,factor,-,"Exposure of the microsite (geographic direction), measured with a 50cm-board and an iPhone 8 using Compass (iOS App)."
microtopography,Micro-topography,factor,-,"Micro-topography around the microsite (40x40cm): convex, concave or flat. Estimated by eye."
wind_edge,Wind-edge,logical,-,Microsite at wind-edge (snow blown away during winter): TRUE or FALSE. 
soil_depth,Soil depth,numeric,centimeters,Mean value of the three soil depth measurements around the microsite (15x15cm). Measured using a 50 cm long metal bar.
soil_moist,Soil moisture,numeric,Volume percent (Vol%),Mean value of all soil moisture measurements during the season for each microsite. Soil moisture measurements approximately 5 cm next to T logger. Mesurement device: ThetaProbe type ML3.
ID_species,Identification numer of the species,numeric,-,Identification numer of the plant species (tussock grass) of the microsite under which the temperature logger was burried. Used as connection element.
